id,title,section,category,topic_tags,environment,gpt6_relation,evidence_level,event_date,window_status,url,code_url,license_status,summary,control_interface,source_ids
P23,GPT-6-Astra Lights Up Embodied Navigation · 零样本连续环境导航,core,closed_loop,control,simulation,explicit_primary,A,2026-09-17,updated_in_window,https://arxiv.org/abs/2609.29861,https://github.com/daiguangzhao/gpt-6-astra-for-vln,扩展报告采用 CC BY 4.0；项目网站仓库未声明独立代码许可。,扩展报告让 GPT-6 Astra 仅凭单目 RGB 在 Codex harness 中自主选择观测、原子动作和停止时机；在固定 R2R-CE-100 上，medium/ultra 各单次运行报告 SR 76.0%/79.0%、SPL 67.9%/69.5%。,512×512 单目 RGB + 指令/连续会话上下文 → Astra 自主调用 observe() 与 step(actions) → 0.25 m 前进、15° 转向、30° 俯仰或 STOP,S065;S091;S092
P24,Benchmarking Frontier VLMs on Robots · Pantograph,core,evaluation,evaluation,real,explicit_primary,A,2026-09-17,in_window,https://pantograph.com/journal/vlm-harness,,报告和媒体版权归 Pantograph；本地仅保留官方社交预览图，未声明再许可。,在 6 台 Pandroid 双臂移动机器人上，以相同提示、工具和预算比较 Astra 与 Fable；官方页报告 Astra 完成率 36%、Fable 15%。,统一 VLM harness → 离散工具调用 → Pandroid 双臂移动机器人,S066
P25,Robot Agent Gallery · Astra 仿真机器人评测画廊,supporting,evaluation,evaluation,simulation,explicit_primary,A,2026-09-18,in_window,https://github.com/tianqi-zh/robot-agent-gallery,https://github.com/tianqi-zh/robot-agent-gallery,仓库未见统一媒体再许可；本地仅保留仓库社交预览图用于审核。,汇总 Astra 从 RGB 与本体状态在线控制 LIBERO、RoboTwin、RoboCasa365、RoboDojo 等仿真基准的公开结果和可播放 episode。,RGB + 本体状态 → Astra 动作 → 多仿真基准环境,S067
P26,Axol Pick-and-Pack · Astra 视觉复核,core,hybrid,control;policy,real,explicit_primary,A,2026-09-17,in_window,https://github.com/dineshreddy91/robot-pick-pack,https://github.com/dineshreddy91/robot-pick-pack,仓库代码与证据图片的明确再许可未核实；本地图片仅供审核。,Astra 仅审阅相机图像，确定性 Python 规划与受保护的 Axol 控制代码执行动作；作者记录一次罐头入袋成功及随后扭矩安全中止。,相机图像 → Astra 复核 → 确定性规划器 → 受保护 Axol 控制器,S068
P27,LLM Robotics Playground · 五项仿真机器人实验,supporting,generated_control,code-generation;control,simulation,explicit_primary,A,2026-09-17,in_window,https://github.com/dimentary/llm-robotics-playground,https://github.com/dimentary/llm-robotics-playground,项目代码 MIT；上游机器人模型及鸽子图样保持各自许可。,Astra/Codex 协助搭建四项 MuJoCo 环境和控制器；2026-09-24 新增 Baoding balls Isaac Lab/PhysX PPO 基线、checkpoint 与固定回放，该新增项本身不使用 Astra 在线控制。,前四项：Astra/Codex 编写环境与控制代码 → 仿真真值状态/接触 → 固定控制器回放；Baoding：PPO 训练策略 → Isaac Lab/PhysX rollout → MuJoCo 运动学回放,S069
P28,GPT-6 Astra Policy on DexJoCo,core,generated_control,code-generation;control,simulation,explicit_primary,A,2026-09-17,in_window,https://github.com/YichengDraw/astra-policy-dexjoco,https://github.com/YichengDraw/astra-policy-dexjoco,代码 MIT；仓库演示媒体未见单独许可声明。,Astra 编写基于示例、图像和机器人状态的控制器，冻结代码后在三项 DexJoCo 任务和两种随机化条件下评测 900 episodes。,示例/观测/状态 → Astra 一次性生成控制器 → 冻结代码评测,S070
P29,Astra on RoboMME · 稀疏规划与视觉完成监控,core,hierarchical_control,control,simulation,explicit_primary,A,2026-09-21,in_window,https://bingaochen.github.io/Astra-on-RoboMME/,https://github.com/bingaochen/Astra-on-RoboMME,代码 Apache-2.0；Qwen、RoboMME、VLA 及媒体保持上游许可。,三层长时程操作系统由 Astra 规划 grounded subtask、π0.5/MME-VLA 执行动作、Qwen3-VL-4B LoRA 判断何时再次规划。,Astra 规划 → π0.5/VLA action chunks → Qwen3-VL-4B 完成监控 → 按需再规划,S071
P30,RoboICL · 具身上下文学习,core,closed_loop,control,simulation,explicit_primary,A,2026-09-19,in_window,https://mosi-ai.github.io/RoboICL-GPT6-Astra.github.io/,https://github.com/Mosi-AI/RoboICL,项目页和仓库媒体公开可访问；未见统一媒体再许可声明。,以同构 TRAIN/LIVE 观测—动作—反馈上下文让 Astra 在线输出双臂末端增量，在九项任务、45 次 rollout 上比较 0/1/3-shot 设置。,TRAIN/LIVE 图像与动作反馈 → Astra → 15×14 双臂末端增量,S072
P31,GPT-6 LIBERO Manipulation Probe,core,closed_loop,control,simulation,explicit_primary,A,2026-09-23,in_window,https://github.com/Jacksonha7/gpt6-libero-probe,https://github.com/Jacksonha7/gpt6-libero-probe,仓库许可状态未核实；本地证据图仅供审核预览。,把规划、2D/3D 定位和低层控制拆开评测；Astra 直接输出 7-D 末端增量，额外正交视角显著改善所测抓放任务。,多视角 RGB / 可选真值坐标 → Astra → 7-D 末端增量动作,S073
P32,当地图成为程序 · Astra World Model,supporting,environment_engineering,environment-building;rl-training,simulation,explicit_primary,A,2026-09-23,in_window,https://github.com/wentingw/astra-world-model-blog,https://github.com/wentingw/astra-world-model-blog,仓库研究资产未见统一再许可声明；本地仅保留官方 hero 图。,Astra 读取 RGB/几何输入并调用 Blender 构造对象化三维场景；下游用生成场景做无人机复拍和 G1 语言导航。,RGB/几何输入 → Astra + Blender 工具 → 对象化 3D 场景 → 下游固定控制器,S074
P33,Robot-vLLM · GPT Planner + π₀.₅ + ROS 2,core,hybrid,control;policy,simulation,explicit_primary,A,2026-09-15,in_window,https://github.com/nssmd/robot-vllm,https://github.com/nssmd/robot-vllm,代码 Apache-2.0；OpenPI、模型权重和仿真依赖另按上游许可。,连接 GPT Planner、官方 OpenPI π₀.₅ 客户端与 ROS 2 执行/恢复，在四滑块共享感知实验中记录 12 seeds×3 组运行。,GPT-6 高层规划 → π₀.₅ 动作策略 → ROS 2 执行与恢复,S075
P34,quackd · 多机器人 LLM CLI / Harness,core,harness,harness;control,real,explicit_primary,A,2026-09-15,updated_in_window,https://github.com/rokbenko/quackd,https://github.com/rokbenko/quackd,项目代码按仓库许可；README GIF/PNG 未见独立媒体再许可声明，本地仅保留项目图用于审核。,LLM 在声明的机器人 verbs 中逐步选动作；2026-09-15 的 SO-101 真机 wave 记录包含 10 次模型调用、8 个 verbs 和 97 条被接受命令。,LLM → 机器人 verbs / JSON 命令 → quackd 适配器 → SO-101 真机,S076;S077
P35,RoboDawn · 冻结 VLM 闭环机器人控制,core,closed_loop,control,real_and_sim,explicit_primary,A,2026-09-19,in_window,https://robodawn.top/,https://github.com/Hugo-AGI/RoboDawn,代码仓库为 MIT；论文为 arXiv non-exclusive distribution license，项目站回放媒体未见独立再许可声明。,冻结 VLM 通过离散移动、旋转和夹爪命令闭环控制机器人，并用示范做上下文学习；GPT-6 Astra 的正式结果来自 RoboTwin 2.0 与 RoboDojo 仿真，论文真机表格使用 Gemini 3.8 Flash。,多视角图像 + 机器人状态 + 任务/示范/历史 → 冻结 VLM 推理 → 离散语义动作 → 运动规划执行 → 反馈与记忆更新,S082;S083;S084
P36,DrivingBench · Astra 真实汽车闭环驾驶评测,core,evaluation,evaluation,real,explicit_primary,A,2026-09-18,updated_in_window,https://drivingbench.com/,https://github.com/aditya-ramabadran/drivingbench_harness_v1,Harness 为 MIT；官方站视频与画面未见独立再许可声明，本站仅远程引用官方预览图。,DrivingBench 让 GPT-6 Astra 通过 observe、set_motion 与 stop_now 三个 MCP 工具闭环控制真实 Toyota Corolla；在同一对话的首次失败与反思后，第二次低速尝试完成 134.7 米锥桶路线。,前向/广角相机 + 车速/方向盘遥测 → Astra/Codex → MCP 离散运动指令 → openpilot/comma four → 转向、加速与制动；人类驾驶员全程备刹车,S085;S086
P37,Astra Robot Sim2Real · 电梯按钮经验复用,core,policy_improvement,policy;control,real_and_sim,explicit_primary,A,2026-09-24,in_window,https://github.com/hesd10/astra-robot-sim2real,https://github.com/hesd10/astra-robot-sim2real,项目整体尚未指定许可；XLeRobot 上游为 Apache-2.0，仓库说明 D3 演示经操作者授权发布。,GPT-6 Astra 读取机器人几何、历史图像/动作与可复用局部技能，针对电梯按钮任务生成低层 API 程序；仓库公开仿真与 XLeRobot 真机逐试次数据、代码、报告及演示。,当前相机图像 + 机器人几何/校准 + 历史经验/局部技能 → Astra 生成程序 → 低层仿真或 XLeRobot 控制 API → 新图像反馈,S087
P38,From Grasping to Skills · Astra 跨会话技能复用,core,policy_improvement,policy;control,real,explicit_primary,A,2026-09-21,in_window,https://github.com/hesd10/astra-grasping-skills,https://github.com/hesd10/astra-grasping-skills,仓库未指定项目级许可；公开资料可核验，不据此推定代码或媒体再许可。,六次独立 Astra/XLeRobot 牛奶盒抓取会话只通过人工审阅的通用流程与可复用代码跨会话传递经验，记录了成功、失败、恢复与操作者干预。,多相机观察 + 当前会话上下文 + 审阅后的通用 procedure/skill 代码 → Astra 生成与执行机器人程序 → XLeRobot 动作与视觉复核,S088
P39,BluPe Remote YAM · Astra 共享真机运行基础设施,supporting,harness,harness;control,real_and_sim,infrastructure,A,2026-09-07,updated_in_window,https://github.com/andlyu/blupe-remote-yam,https://github.com/andlyu/blupe-remote-yam,仓库无统一项目许可；RoboCurve 适配代码与 I2RT/robot models 各自保留上游许可。,开源 runner 让本地 Codex/Astra 通过公开 Session API 加入 BluPe 共享 YAM/SO101 机器人队列，读取三路相机并提交受限轨迹；近期更新加入运行对比指标与可选推理强度。,远端三相机/队列状态 → 本地 Astra runner 与 IK → Session API 轨迹请求 → 网关就绪/限位/停止检查 → 共享 YAM 或 SO101,S089
P40,Robo-Harness K1 · 感知工具增强机器人智能体,core,harness,harness;control,simulation,explicit_primary,A,2026-09-24,in_window,https://arxiv.org/abs/2609.29389,,论文为 arXiv non-exclusive distribution license；摘要页未给出公开代码入口。,Robo-Harness K1 将标定深度、持久视觉锚点、空间测量与抓取候选暴露为工具；在 18 个配对 LIBERO-PRO case 上，GPT-6 Astra 从 RGB-only 的 11/18 提升到 K1 的 16/18。,RGB/机器人状态 → Astra 选择 grounding、depth、anchor、grasp 等感知工具 → 通用运动/夹爪工具 → 仿真执行与反馈,S090
P41,PyRUA-Lean · 用代码而非逐步工具调用控制机器人,core,harness,harness;control,simulation,explicit_primary,A,2026-09-25,in_window,https://github.com/DAGroup-PKU/PyRUA-Lean,https://github.com/DAGroup-PKU/PyRUA-Lean,PyRUA-Lean 采用 Apache-2.0；依赖的 RPent、仿真器、VLA 与模型资产适用各自许可。,PyRUA-Lean 让 GPT-6 Astra 在持久 Python 命名空间中编写面向 robo 对象的代码，以一次调用组合感知、运动、VLA 技能与状态检查；作者在四组仿真基准上与相同模型、基元和调用预算的 RPent 工具调用方式做配对比较。,任务卡/初始图像 + 生成的 robo API 文档 → Astra 编写 Python cells → 沙箱内调用感知、伺服与冻结 VLA 技能 → 同一基准成功判定,S093;S094
P42,GPT-6 Astra Real2Sim Workflow · 可编辑房间重建与仿真复核,core,real2sim,real-to-sim;replay,visual_replay,explicit_primary,A,2026-09-24,in_window,https://github.com/Roboparty/gpt-6-astra-real2sim-workflow,https://github.com/Roboparty/gpt-6-astra-real2sim-workflow,代码采用 MIT；照片、视频、ArtVIP 参考资产与其他第三方材料按仓库 MEDIA_NOTICE/THIRD_PARTY_NOTICES 分别处理。,该工作流用 GPT-6 Astra 观察房间照片、决定建模步骤并复查预览，Blender/Python 生成可编辑场景；公开仓库提供三个展示场景、一个可复跑 MuJoCo 案例、几何审计与输入来源台账。,房间照片 + 已知尺寸/候选家具规格 → Astra 观察、建模决策与预览复查 → Blender/Python 构建 → 几何审计、GLB/USD 导出与可选 MuJoCo 动力学,S095
X01,真实机器人键盘打字,watchlist,closed_loop,control,real,explicit_author_mirror,C,2026-09-12,reported_in_window,https://x.com/kaiwynd/status/2098823484474348008,,未核实,作者展示约 40 分钟探索后的物理按键；视频为加速播放。,未披露/未核实,S036
X02,真实网线插入,watchlist,closed_loop,control,real,explicit_author_mirror,C,,date_unconfirmed,https://x.com/kaiwynd/status/2099524132341711051,,未核实,作者称约 2 小时、4 次人类提示介入后完成网线插入。,未披露/未核实,S036
X03,机械臂画金门大桥,watchlist,closed_loop,control,real,explicit_author_mirror,C,2026-09-08,reported_in_window,https://x.com/cdngdev/status/2097339677128982873,,未核实,作者给机器人画笔和相机，通过多次尝试完成语义目标绘画。,未披露/未核实,S037
X04,跨场景移动操作 ICL,watchlist,closed_loop,control,real,explicit_author_mirror,C,2026-09-11,reported_in_window,https://x.com/ax_pey/status/2098216469012283681,,未核实,作者展示不同视角/布局下从视频推断移动操作。,未披露/未核实,S038
X05,G1 可乐瓶抓取,watchlist,hierarchical_control,control,simulation,explicit_author_mirror,C,2026-09-13,reported_in_window,https://x.com/RotekSong/status/2099104628562608371,,未核实,作者展示 Codex/Astra 在 Isaac Sim 控制 G1，并明确回复使用 IK。,未披露/未核实,S039
X06,G1 导航,watchlist,hierarchical_control,control,simulation,explicit_author_mirror,C,2026-09-11,reported_in_window,https://x.com/RotekSong/status/2098212303263183329,,未核实,作者展示 GPT-6 生成导航行为与场景的仿真演示。,未披露/未核实,S038
X07,灵巧手解魔方,watchlist,dexterous_sim,dexterous;control,simulation,explicit_author_mirror,C,2026-09-10,reported_in_window,https://x.com/ZeYanjie,,未核实,作者声明 Astra 解魔方；个人主页确认存在对应 MuJoCo 双手项目。,未披露/未核实,S040;S041
X08,Sharpa 灵巧手转笔 PPO,watchlist,rl_engineering,rl-training;dexterous,simulation,explicit_author_mirror,C,2026-09-16,reported_in_window,https://x.com/walterzhu8/status/2100212420840989112,,未核实,作者展示学生 Chengyang Li 用 Astra 构建 Isaac Lab 任务并训练转笔策略。,未披露/未核实,S039
X09,Go1 暂停物理的关节控制,watchlist,paused_physics,physics;control,simulation,explicit_author_mirror,C,,date_unconfirmed,https://x.com/sri299792458/status/2097349207795335424,,未核实,作者描述每次推理暂停物理，250 次推理对应 5 秒仿真运动。,未披露/未核实,S024
X10,CARLA 视觉路点驾驶,watchlist,hierarchical_control,control,simulation,explicit_author_mirror,C,,date_unconfirmed,https://x.com/ludocomito/status/2097329417760440461,,未核实,作者展示相机图像到短期路点；局部控制器再输出转向、油门和刹车。,未披露/未核实,S042
X11,双机器人抛接球,watchlist,generated_control,code-generation;control,simulation,explicit_author_mirror,C,,date_unconfirmed,https://x.com/thermalpastor/status/2097496200631210136,,未核实,作者展示 MuJoCo 抛接球仿真。,未披露/未核实,S043
X12,G1 自行车控制代码,watchlist,generated_control,code-generation;control,simulation,explicit_author_mirror,C,,date_unconfirmed,https://x.com/thermalpastor/status/2097802933429796873,,未核实,作者称 Astra 帮助编写并调试 MuJoCo 自行车控制代码。,未披露/未核实,S043
X13,Dual-ALOHA 空间约束演示,watchlist,planned_replay,replay;control,simulation,reported_secondary,D,2026-09-15,reported_in_window,https://x.com/qineng_wang/status/2099893504658866561,,未核实,双臂空间约束演示线索。,未披露/未核实,S033;S052
X14,办公场景 → Newton / G1,watchlist,environment_engineering,environment-building;rl-training,simulation,reported_secondary,D,2026-09-11,reported_in_window,https://x.com/Jiarui_X/status/2098439950991806804,,未核实,办公场景仿真构建线索。,未披露/未核实,S033
X15,Wuji2 灵巧手视觉自扶正,watchlist,closed_loop,control,real,explicit_partial,B,2026-09-18,in_window,https://x.com/frankzydou/status/2100754714971287557,,用户提供原帖视频用于本站展示；未取得代码、模型输出或更广泛再许可,作者演示 GPT-6 Astra Ultra 根据第三人称 RGB 反馈，让倒卧的 Wuji2 灵巧手用手指支撑并站立；视频同时展示加速片段与正常速度片段。,第三人称 RGB 相机反馈 → Astra Ultra 迭代控制 → Wuji2 灵巧手手指接触与姿态调整,S057;S058
